Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
"C1, C2",0805,2,22uF,
"C10, C11, C12, C15, C17, C22, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C39, C40, C41, C42, C43, C44, C45, C46, C47, C8, C9",0805,27,100n,
"C14, C16",0402,2,C,
"C18, C19",0805,2,15p,
"C20, C21, C23, C24, C7",0805,5,4.7u,
C3,0805,1,4p,
C35,0805,1,2.2n,
C36,0805,1,1u,
"C37, C38, C48",1206,3,100u,
"C4, C6",1206,2,47uF,
C5,0805,1,2.4p,
"D1, D10, D2, D3, D6, D8, D9",D_SOD-523,7,T5V0S5A-7,
"D11, D12, D14, D15",0603,4,LED,
D13,0201,1,ESDARF02-1BU2CK,
"D4, D5",D_SMA_Handsoldering,2,B240AE-13,
D7,D_SOD-523,1,T3V3S5A-7,
"J1, J4, J5",OQ0332510000G,3,OQ0332510000G,
J10,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J2,OQ0232510000G,1,OQ0232510000G,
J3,LINX_CONBNC002,1,CONBNC002,
"J6, J9",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
J7,USB_B_Lumberg_2411_02_Horizontal,1,USB_B,
J8,SAMTEC_SMA-J-P-X-RA-TH1,1,SMA-J-P-X-RA-TH1,
L1,0402,1,L,
L2,AOTA-B201610S3R3-101-T,1,3.3u,
"L3, L4",IND_LQH3NPZ2R2MMEL,2,2.2uH,
"R1, R5, R7",0805,3,100k,
"R10, R13, R14, R21, R24, R31, R9",0805,7,1k,
"R11, R15, R16, R22, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44",0805,14,10k,
R12,0805,1,200k,
R17,0805,1,75R,
"R18, R19, R20",0805,3,165R,
R2,0805,1,0R,
R23,0805,1,33R,
"R25, R26",0805,2,27R,
"R27, R28, R45, R8",0805,4,100R,
R29,0805,1,4.7M,
R3,0805,1,4.7k,
R30,0805,1,3k,
"R32, R34",0805,2,30k,
R33,0805,1,60k,
R4,0805,1,560k,
R6,0805,1,910k,
SW1,SW4_1825910-B_TEC,1,Tactile Pushbutton,
"TP1, TP10, TP11, TP12, TP13, TP14, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,14,TestPoint,
"TP15, TP16, TP17, TP18",TestPoint_Pad_D1.5mm,4,TestPoint_Small,
"U10, U9",CONV_TPS63000DRCR,2,TPS63000,
U11,SOIC_208MIL_WIN-M,1,TL082,
U12,SOIC_208MIL_WIN-M,1,LM2660MX,
"U13, U15, U16",TSSOP-14_4.4x5mm_P0.65mm,3,MCP4651T-503E_ST,
U14,TSSOP-14_4.4x5mm_P0.65mm,1,LMV324,
U2,TSSOP-16_4.4x5mm_P0.65mm,1,TMUX1309,
U3,TSSOP-8_3x3mm_P0.65mm,1,LSF0102,
U4,Core1262,1,Core1262 HF,
U5,SOIC127P790X216-8N,1,MX25L3233FM2I-08Q,
U6,SOT-23-6,1,MCP3425Axx-xCH,
U7,SOIC_208MIL_WIN-M,1,W25Q128JVSIQ TR,
U8,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,
Y1,ABM8-272-T3,1,ABM8-272-T3,
